,pokedex_number,Number,name,attack,defense,sp_attack,sp_defense,speed,hp,base_total,base_egg_steps,base_happiness,capture_rate,experience_growth,generation,is_legendary,Total Fights,Win Percentage,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,water,bug2,dark2,dragon2,electric2,fairy2,fighting2,fire2,flying2,ghost2,grass2,ground2,ice2,none,normal2,poison2,psychic2,rock2,steel2,water2
0,1,1.0,Bulbasaur,49,49,65,65,45,45,318,5120,70,45,1059860,1,0,133.0,0.2781954887218045,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,2.0,Ivysaur,62,63,80,80,60,60,405,5120,70,45,1059860,1,0,121.0,0.38016528925619836,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3,3.0,Venusaur,100,123,122,120,80,80,625,5120,70,45,1059860,1,0,132.0,0.6742424242424242,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,4,5.0,Charmander,52,43,60,50,65,39,309,5120,70,45,1059860,1,0,112.0,0.49107142857142855,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,5,6.0,Charmeleon,64,58,80,65,80,58,405,5120,70,45,1059860,1,0,118.0,0.5423728813559322,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,6,7.0,Charizard,104,78,159,115,100,78,634,5120,70,45,1059860,1,0,133.0,0.8646616541353384,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,7,10.0,Squirtle,48,65,50,64,43,44,314,5120,70,45,1059860,1,0,117.0,0.1623931623931624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,8,11.0,Wartortle,63,80,65,80,58,59,405,5120,70,45,1059860,1,0,141.0,0.41843971631205673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,10,14.0,Caterpie,30,35,20,20,45,45,195,3840,70,255,1000000,1,0,115.0,0.14782608695652175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,11,15.0,Metapod,20,55,25,25,30,50,205,3840,70,120,1000000,1,0,133.0,0.09774436090225563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,12,16.0,Butterfree,45,50,90,80,70,60,395,3840,70,45,1000000,1,0,120.0,0.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,13,17.0,Weedle,35,30,20,20,50,40,195,3840,70,255,1000000,1,0,111.0,0.23423423423423423,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,14,18.0,Kakuna,25,50,25,25,35,45,205,3840,70,120,1000000,1,0,130.0,0.13076923076923078,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,15,19.0,Beedrill,150,40,15,80,145,65,495,3840,70,45,1000000,1,0,128.0,0.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,16,21.0,Pidgey,45,40,35,35,56,40,251,3840,70,255,1059860,1,0,126.0,0.373015873015873,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,17,22.0,Pidgeotto,60,55,50,50,71,63,349,3840,70,120,1059860,1,0,121.0,0.5289256198347108,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,18,23.0,Pidgeot,80,80,135,80,121,83,579,3840,70,45,1059860,1,0,130.0,0.8615384615384616,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
